fecha_corte,sexo,n_acumulada,prop,g_edad,n
2020/03/31 00:00:00,Hombres,-705,-58,Promedio,NA
2020/03/31 00:00:00,Mujeres,513,42,Promedio,NA
2020/03/31 00:00:00,Mujeres,5,1,0 a 10 años,1
2020/03/31 00:00:00,Mujeres,29,6,11 a 20 años,2
2020/03/31 00:00:00,Mujeres,112,22,21 a 30 años,8
2020/03/31 00:00:00,Mujeres,104,20,31 a 40 años,9
2020/03/31 00:00:00,Mujeres,97,19,41 a 50 años,9
2020/03/31 00:00:00,Mujeres,85,17,51 a 60 años,9
2020/03/31 00:00:00,Mujeres,55,11,61 a 70 años,7
2020/03/31 00:00:00,Mujeres,22,4,71 a 80 años,2
2020/03/31 00:00:00,Mujeres,4,1,80 años o más,0
2020/03/31 00:00:00,Hombres,-3,-0,0 a 10 años,1
2020/03/31 00:00:00,Hombres,-24,-3,11 a 20 años,2
2020/03/31 00:00:00,Hombres,-135,-19,21 a 30 años,10
2020/03/31 00:00:00,Hombres,-155,-22,31 a 40 años,11
2020/03/31 00:00:00,Hombres,-176,-25,41 a 50 años,26
2020/03/31 00:00:00,Hombres,-119,-17,51 a 60 años,10
2020/03/31 00:00:00,Hombres,-51,-7,61 a 70 años,8
2020/03/31 00:00:00,Hombres,-41,-6,71 a 80 años,5
2020/03/31 00:00:00,Hombres,-1,-0,80 años o más,0
