ESTADO,fechas_2020-03-01,fechas_2020-03-07,fechas_2020-03-11,fechas_2020-03-15,fechas_2020-03-18,fechas_2020-03-22,fechas_2020-03-25,fechas_2020-03-29,fechas_2020-04-01,n_2020-03-01,n_2020-03-07,n_2020-03-11,n_2020-03-15,n_2020-03-18,n_2020-03-22,n_2020-03-25,n_2020-03-29,n_2020-04-01,n_acumulada_2020-03-01,n_acumulada_2020-03-07,n_acumulada_2020-03-11,n_acumulada_2020-03-15,n_acumulada_2020-03-18,n_acumulada_2020-03-22,n_acumulada_2020-03-25,n_acumulada_2020-03-29,n_acumulada_2020-04-01,color_2020-03-01,color_2020-03-07,color_2020-03-11,color_2020-03-15,color_2020-03-18,color_2020-03-22,color_2020-03-25,color_2020-03-29,color_2020-04-01,CODIGO
Baja California,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,2,9,3,9,14,0,0,0,0,2,11,14,23,37,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEADF,#FEEADF,#FEE3D7,#FDDDCE,MX02
Baja California Sur,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,1,4,4,7,0,0,0,0,0,1,5,9,16,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,MX03
Nayarit,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,1,3,1,3,0,0,0,0,0,1,4,5,8,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,MX18
Jalisco,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,2,4,35,5,38,17,0,0,0,2,6,41,46,84,101,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FDD3C1,#FDD3C1,#FCAA8D,#FC9475,MX14
Aguascalientes,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,1,3,8,12,12,0,0,0,0,1,4,12,24,36,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,#FDDDCE,MX01
Guanajuato,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,4,0,15,18,12,0,0,0,0,4,4,19,37,49,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FDDDCE,#FDD3C1,MX11
Querétaro,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,1,5,1,7,4,8,3,0,0,1,6,7,14,18,26,29,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEADF,#FEEADF,#FEE3D7,#FEE3D7,MX22
Hidalgo,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,5,2,10,4,0,0,0,0,0,5,7,17,21,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,MX13
Michoacán,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,0,0,0,0,3,7,7,7,0,0,0,0,0,3,10,17,24,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FFF5F0,#FEEFE8,#FEEFE8,#FEEADF,#FEE3D7,MX16
México,2020-02-27 a 2020-03-01,2020-03-06 a 2020-03-07,2020-03-11 a 2020-03-11,2020-03-12 a 2020-03-15,2020-03-16 a 2020-03-18,2020-03-19 a 2020-03-22,2020-03-23 a 2020-03-25,2020-03-26 a 2020-03-29,2020-03-30 a 2020-04-01,0,1,1,2,6,12,4,93,44,0,1,2,4,10,22,26,119,163,#FFF5F0,#FEEFE8,#FEEFE8,#FEEFE8,#FEEFE8,#FEE3D7,#FEE3D7,#FB8A6A,#F45039,MX15
