fecha_corte,sexo,n_acumulada,prop,g_edad,n
2020/03/23 00:00:00,Hombres,-233,-63,Promedio,NA
2020/03/23 00:00:00,Mujeres,134,37,Promedio,NA
2020/03/23 00:00:00,Mujeres,0,0,0 a 10 años,0
2020/03/23 00:00:00,Mujeres,13,10,11 a 20 años,3
2020/03/23 00:00:00,Mujeres,35,26,21 a 30 años,5
2020/03/23 00:00:00,Mujeres,29,22,31 a 40 años,6
2020/03/23 00:00:00,Mujeres,16,12,41 a 50 años,3
2020/03/23 00:00:00,Mujeres,24,18,51 a 60 años,3
2020/03/23 00:00:00,Mujeres,11,8,61 a 70 años,0
2020/03/23 00:00:00,Mujeres,6,4,71 a 80 años,0
2020/03/23 00:00:00,Mujeres,0,0,80 años o más,0
2020/03/23 00:00:00,Hombres,-1,-0,0 a 10 años,0
2020/03/23 00:00:00,Hombres,-8,-3,11 a 20 años,2
2020/03/23 00:00:00,Hombres,-44,-19,21 a 30 años,5
2020/03/23 00:00:00,Hombres,-58,-25,31 a 40 años,8
2020/03/23 00:00:00,Hombres,-55,-24,41 a 50 años,5
2020/03/23 00:00:00,Hombres,-39,-17,51 a 60 años,8
2020/03/23 00:00:00,Hombres,-14,-6,61 a 70 años,2
2020/03/23 00:00:00,Hombres,-14,-6,71 a 80 años,1
2020/03/23 00:00:00,Hombres,-0,-0,80 años o más,0
